Package_Name	ITHS	Density	Material_ID	Package_Material
"ABRACONLLC_ABLS7M2-16_000MHZ-D2Y-T"	0	3.00e-10	1	0
"ADESTOTECHNOLOGIES_AT45DB161E-SSHF-T"	0	3.00e-10	1	0
"CYPRESSSEMICONDUCTOR_S34ML04G200BHI000"	0	3.00e-10	1	0
"DIODESINCORPORATED_AP7333-33SRG-7"	0	3.00e-10	1	0
"DIODESINCORPORATED_APX823-31W5G-7"	0	3.00e-10	1	0
"DIODESINCORPORATED_PAM2320BECADJR"	0	3.00e-10	1	0
"MURATAELECTRONICS_GRM155R71C103KA01J"	0	3.00e-10	1	0
"MURATAELECTRONICS_LQP03TN3N3B02D"	0	3.00e-10	1	0
"TEXASINSTRUMENTS_TLV71210DBVR"	0	3.00e-10	1	0
"YAGEO_RC0402JR-070RL"	0	3.00e-10	1	0
